Restaurant_Name,City,Country,Cuisine_Type,Michelin_Stars,Average_Price_USD,Chef,Established_Year,Seating_Capacity,Rating,Signature_Dish,Years_Operating,Price_Category,Star_Category,Continent
35,18,8,24,3,320,28,1995,28,4,19,30,1,2,1
34,29,13,19,3,320,24,2008,32,4,22,17,1,2,0
47,33,18,18,3,390,42,1994,60,4,32,31,1,2,2
4,21,5,22,3,425,0,1986,40,4,21,39,3,2,1
29,16,5,29,3,350,29,1991,36,4,43,34,1,2,1
19,30,15,34,3,380,4,2008,23,4,38,17,1,2,1
24,20,18,21,3,295,13,1972,62,4,3,53,1,2,2
36,0,8,23,3,310,11,2005,35,4,17,20,1,2,1
5,26,14,3,3,295,23,1897,50,4,37,128,1,2,1
7,25,18,11,3,345,9,2011,50,4,24,14,1,2,2
9,25,18,9,3,298,5,2010,56,4,48,15,1,2,2
2,21,5,20,3,385,47,2003,55,4,6,22,1,2,1
23,23,8,25,3,310,16,1994,50,4,16,31,1,2,1
39,8,14,29,3,270,34,1989,48,4,39,36,1,2,1
22,21,5,19,3,305,32,2000,25,4,28,25,1,2,1
16,10,14,10,3,280,21,1986,45,4,14,39,1,2,1
21,7,4,32,3,420,35,2007,40,4,36,18,3,2,1
17,20,18,9,3,365,7,1998,80,4,26,27,1,2,2
1,6,18,31,3,385,15,2005,64,4,4,20,1,2,2
25,24,8,23,3,290,27,1981,50,4,40,44,1,2,1
8,13,14,3,3,265,10,2005,45,4,41,20,1,2,1
48,28,2,2,3,570,33,2012,10,4,0,13,3,2,0
33,7,4,32,2,450,37,2003,40,4,18,22,3,3,1
14,31,9,27,2,280,49,2007,26,4,12,18,1,3,0
43,11,18,28,2,325,25,2016,48,4,49,9,1,3,2
41,4,6,0,2,245,43,2010,48,4,9,15,2,3,1
32,31,9,26,2,275,48,2003,36,4,45,22,1,3,0
18,31,9,19,2,235,18,2009,28,4,2,16,2,3,0
44,32,0,1,2,265,17,2005,60,4,10,20,1,3,1
30,20,18,9,2,285,40,2008,12,4,47,17,1,3,2
40,29,13,0,2,285,2,2010,30,4,31,15,1,3,0
3,12,7,18,2,245,38,2005,46,4,25,20,2,3,0
15,3,14,29,2,250,31,2014,52,4,33,11,1,3,1
31,9,14,4,2,275,1,1998,20,4,13,27,1,3,1
0,7,4,16,2,550,36,2015,50,4,11,10,3,3,1
6,1,14,5,1,210,44,1990,30,4,20,35,2,1,1
46,15,17,6,1,165,19,2013,40,4,5,12,2,1,1
12,29,13,30,1,165,8,2013,26,4,44,12,2,1,0
42,21,5,19,1,95,3,2011,28,4,8,14,0,1,1
13,14,11,14,0,180,45,2008,50,4,34,17,2,0,3
28,14,11,33,0,165,30,2009,36,4,7,16,2,0,3
37,17,10,13,0,155,12,2000,55,4,30,25,2,0,2
20,2,16,35,0,195,14,2017,14,4,27,8,2,0,0
38,17,10,13,0,140,22,2012,48,4,15,13,0,0,2
45,2,16,12,0,185,41,2014,48,4,29,11,2,0,0
11,27,1,7,0,145,39,2006,40,4,46,19,0,0,3
10,22,18,17,0,285,6,2004,70,4,42,21,1,0,2
49,19,12,15,0,220,46,2011,50,4,23,14,2,0,1
26,5,3,8,0,125,26,2007,45,4,1,18,0,0,3
27,15,17,6,0,85,20,2014,38,4,35,11,0,0,1
